PID,QID,Degree of Explanation
P016,Q3,Comprehensive
P016,Q4,Succinct
P016,Q5,Succinct
P016,Q6,Succinct
P016,Q7,Succinct
P016,Q8,Succinct
P016,Q9,Over-explained
P016,Q10,Succinct
P017,Q1,Succinct
P017,Q2,Succinct
P017,Q3,Succinct
P017,Q4,Succinct
P017,Q5,Under-explained
P017,Q6,Succinct
P017,Q7,Succinct
P017,Q8,Succinct
P018,Q1,Succinct
P018,Q2,Succinct
P018,Q3,Under-explained
P018,Q4,Over-explained
P018,Q5,Comprehensive
P018,Q6,Comprehensive
P018,Q7,Over-explained
P018,Q8,Comprehensive
P018,Q9,Comprehensive
P018,Q10,Succinct
P019,Q1,Succinct
P019,Q2,Succinct
P019,Q3,Succinct
P019,Q4,Succinct
P019,Q5,Comprehensive
P019,Q6,Comprehensive
P019,Q7,Succinct
P019,Q8,Comprehensive
P023,Q1,Under-explained
P023,Q2,Comprehensive
P023,Q3,Succinct
P023,Q4,Succinct
P023,Q5,Comprehensive
P023,Q6,Succinct
P023,Q7,Succinct
P023,Q8,Comprehensive
P023,Q9,Succinct
P024,Q1,Comprehensive
P024,Q2,Succinct
P024,Q3,Comprehensive
P024,Q4,Succinct
P024,Q5,Succinct
P024,Q6,Comprehensive
P025,Q1,Comprehensive
P025,Q2,Succinct
P025,Q3,Succinct
P025,Q4,Comprehensive
P025,Q5,Comprehensive
P025,Q6,Comprehensive
P025,Q7,Comprehensive
P025,Q8,Comprehensive
P026,Q1,Comprehensive
P026,Q2,Comprehensive
P026,Q3,Comprehensive
P026,Q4,Over-explained
P027,Q1,Succinct
P027,Q2,Comprehensive
P027,Q3,Succinct
P027,Q4,Succinct
P027,Q5,Comprehensive
P028,Q1,Succinct
P028,Q2,Succinct
P028,Q3,Under-explained
P028,Q4,Succinct
P028,Q5,Succinct
P028,Q6,Comprehensive
P028,Q7,Comprehensive
P028,Q8,Comprehensive
P028,Q9,Comprehensive
P028,Q10,Comprehensive
P028,Q11,Succinct
P029,Q1,Comprehensive
P029,Q2,Comprehensive
P029,Q3,Comprehensive
P029,Q4,Comprehensive
P029,Q5,Succinct
P029,Q6,Over-explained
P029,Q7,Succinct
P030,Q1,Succinct
P030,Q2,Comprehensive
P030,Q3,Comprehensive
P030,Q4,Over-explained
P030,Q5,Over-explained
P030,Q6,Over-explained
P031,Q1,Over-explained
P031,Q2,Succinct
P031,Q3,Comprehensive
P031,Q4,Comprehensive
P031,Q5,Comprehensive
P031,Q6,Succinct
P031,Q7,Comprehensive
P031,Q8,Over-explained
P031,Q9,Comprehensive
P031,Q10,Comprehensive
P031,Q11,Comprehensive
P031,Q12,Succinct
P032,Q1,Under-explained
P032,Q2,Over-explained
P032,Q3,Over-explained
P032,Q4,Over-explained
P032,Q5,Over-explained
P032,Q6,Comprehensive
P032,Q7,Over-explained
P033,Q1,Succinct
P033,Q2,Comprehensive
P033,Q3,Comprehensive
P033,Q4,Succinct
P033,Q5,Comprehensive
P033,Q6,Under-explained
P033,Q7,Comprehensive
P033,Q8,Comprehensive
P033,Q9,Succinct
P034,Q1,Comprehensive
P034,Q2,Comprehensive
P034,Q3,Comprehensive
P034,Q4,Comprehensive
P034,Q5,Comprehensive
P034,Q6,Comprehensive
P034,Q7,Over-explained
P034,Q8,Comprehensive
P035,Q1,Over-explained
P035,Q2,Comprehensive
P035,Q3,Over-explained
P035,Q4,Comprehensive
P035,Q5,Comprehensive
P036,Q1,Succinct
P036,Q2,Succinct
P036,Q3,Comprehensive
P036,Q4,Comprehensive
P036,Q5,Comprehensive
P036,Q6,Comprehensive
P037,Q1,Comprehensive
P037,Q2,Succinct
P037,Q3,Comprehensive
P037,Q4,Comprehensive
P037,Q5,Over-explained
P037,Q6,Comprehensive
P038,Q1,Succinct
P038,Q2,Succinct
P038,Q3,Comprehensive
P038,Q4,Comprehensive
P038,Q5,Succinct
P038,Q6,Comprehensive
P038,Q7,Comprehensive
P038,Q8,Comprehensive
P038,Q9,Comprehensive
P038,Q10,Comprehensive
P039,Q1,Over-explained
P039,Q2,Over-explained
P039,Q3,Over-explained
P039,Q4,Under-explained
P039,Q5,Over-explained
P039,Q6,Over-explained
P039,Q7,Over-explained
P039,Q8,Under-explained
P039,Q9,Succinct
P039,Q10,Succinct
P040,Q1,Comprehensive
P040,Q2,Comprehensive
P040,Q3,Comprehensive
P040,Q4,Comprehensive
P040,Q5,Comprehensive
P041,Q1,Comprehensive
P041,Q2,Under-explained
P041,Q3,Comprehensive
P041,Q4,Succinct
P041,Q5,Comprehensive
P041,Q6,Comprehensive
P041,Q7,Succinct
P041,Q8,Succinct
P041,Q9,Succinct
